Program,Decades,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020–2029,2025,WEEK #05,2/2/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #05,2/2/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,44,
SURVEY,2020–2029,2025,WEEK #05,2/2/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,56,
SURVEY,2020–2029,2025,WEEK #09,3/2/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,3,
SURVEY,2020–2029,2025,WEEK #09,3/2/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,39,
SURVEY,2020–2029,2025,WEEK #09,3/2/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,58,
SURVEY,2020–2029,2025,WEEK #11,3/16/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #11,3/16/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,89,
SURVEY,2020–2029,2025,WEEK #11,3/16/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,11,
SURVEY,2020–2029,2025,WEEK #12,3/23/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #12,3/23/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,91,
SURVEY,2020–2029,2025,WEEK #12,3/23/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,9,
